order_id,date,region,country,product_category,product_name,units_sold,unit_price,revenue,cost,profit,customer_id,customer_segment,sales_channel
100001,2024-09-01,North America,Mexico,Electronics,Wireless Headset,3,384.58,1153.74,922.68,231.06,C1805,Consumer,Partner
100002,2024-09-01,Asia,China,Office Supplies,Stapler,1,15.22,15.22,10.2,5.02,C1475,Enterprise,Online
100003,2024-09-01,North America,Canada,Electronics,Wireless Headset,4,212.39,849.56,707.4,142.16,C1013,SMB,Online
100004,2024-09-01,North America,Mexico,Furniture,Filing Cabinet,1,311.4,311.4,195.45,115.95,C1871,SMB,Online
100005,2024-09-01,North America,Canada,Electronics,Laptop Pro,5,245.28,1226.4,691.16,535.24,C1295,SMB,Retail
100006,2024-09-01,Asia,Singapore,Electronics,Smartwatch Z,2,239.75,479.5,265.97,213.53,C1520,SMB,Online
100007,2024-09-01,North America,Mexico,Electronics,Smartwatch Z,2,274.52,549.04,321.06,227.98,C1134,SMB,Online
100008,2024-09-01,North America,Mexico,Electronics,Smartwatch Z,2,311.02,622.04,413.58,208.46,C1942,SMB,Retail
100009,2024-09-01,Asia,Japan,Electronics,Wireless Headset,2,229.42,458.84,256.69,202.15,C1742,Consumer,Online
100010,2024-09-01,Asia,India,Electronics,Smartphone X,1,379.71,379.71,277.06,102.65,C1242,Consumer,Partner
100011,2024-09-01,South America,Brazil,Electronics,Smartwatch Z,2,307.08,614.16,486.56,127.6,C1347,Consumer,Partner
100012,2024-09-01,Europe,France,Office Supplies,Stapler,1,11.98,11.98,8.51,3.47,C1317,Consumer,Online
100013,2024-09-01,Europe,France,Electronics,Smartwatch Z,2,384.92,769.84,645.69,124.15,C1509,SMB,Retail
100014,2024-09-01,North America,USA,Electronics,Laptop Pro,1,260.16,260.16,213.98,46.18,C1402,SMB,Online
100015,2024-09-01,Europe,Germany,Electronics,Smartwatch Z,1,276.54,276.54,172.19,104.35,C1293,Consumer,Retail
100016,2024-09-01,Asia,Japan,Clothing,Sneakers,2,36.22,72.44,52.68,19.76,C1954,Consumer,Retail
